Algorithm,mutag_mean,mutag_std,mutag_median,proteins_mean,proteins_std,proteins_median,ohsu_mean,ohsu_std,ohsu_median
divider,0.25325296080451565,0.15793466121604158,0.23529411764705882,0.14228092248452026,0.11290880078413797,0.125,0.16239758893548142,0.08060357641281665,0.1509433962264151
bucket,0.6620477064300312,0.21845481265027814,0.6470588235294118,0.5263425968441416,0.3077480138909995,0.4666666666666667,0.5970231032975482,0.20547004742760197,0.5609756097560976
direct,0.5791809898145535,0.20809552711596174,0.5789473684210527,0.45134917149783343,0.2053957755201547,0.4360338243316967,0.4486873387322324,0.13816545311239126,0.42857142857142855
