Algorithm,Mutag_mean,Mutag_std,Proteins_mean,Proteins_std,OHSU_mean,OHSU_std
LSA,0.14496235847473143,0.018013054533152915,0.4894548892974854,0.006273008492914879,0.704182767868042,0.012824314352551977
Divider,0.5063777208328247,0.01108934033327969,0.4208188772201538,0.03556292425040806,0.2428220510482788,0.006474061676268339
Bucket,1.6938014030456543,0.0277803327210499,1.1175281047821044,0.01908137580741548,0.6148508310317993,0.025255262432516586
Direct,0.8007937431335449,0.016910976253742424,0.9286830425262451,0.012852493090133234,0.6875097036361695,0.008453699756326094
