Algorithm,mutag_mean,mutag_std,mutag_median,proteins_mean,proteins_std,proteins_median,ohsu_mean,ohsu_std,ohsu_median
divider,9314.499869904608,482261.4829336554,0.7296395412284569,0.3949800431728363,0.6610625386238098,0.22307398915290833,0.1836690468743324,0.09862819705638622,0.16330216532827477
bucket,510.23841127226564,47764.74732292638,0.16647819801168406,0.1900850385427475,0.49355337023735046,0.07626520842313766,0.0409593337057542,0.05125930998231338,0.027284439996046517
direct,0.06621036671782263,0.0861286739064983,0.030502094370963323,0.028116995468735695,0.03322811797261238,0.017817214131355286,0.026570185945804386,0.014521651613017637,0.025212051544842316
